Ensemble_ID,Gene_symbol,H376.VI.50_OFC,H376.VI.51_OFC,H376.VI.52_OFC,H376.VII.51_OFC,H376.VIII.51_OFC,H376.VIII.53_OFC,H376.VIII.52_OFC,H376.VIII.54_OFC,H376.VIII.50_OFC
ENSG00000139914,FITM1,0,0.32,0.04,0.06,0.03,0.12,0.29,0.25,0.08
ENSG00000139915,MDGA2,2.16,0.87,1.51,2.04,2.51,2.13,2.46,1,1.26
ENSG00000139921,TMX1,3.98,6.4,9.02,4.89,4.38,3.67,5.21,5.89,5.05
ENSG00000139926,FRMD6,0.85,2.35,1.01,0.67,0.97,0.3,1.19,1.67,1.39
ENSG00000139946,PELI2,1.04,4.44,1.57,1.7,1.22,0.81,2.02,2.77,3.14
ENSG00000139970,RTN1,180.61,40.89,190.24,112.98,213.99,5.98,68.86,37.32,123.64
ENSG00000139971,C14orf37,2.66,7.53,1.79,2.56,5.46,0.67,2.82,3.95,3.04
ENSG00000139973,SYT16,3.36,0.48,1.29,1.88,7.56,0.34,1.29,1.04,2.97
ENSG00000139974,SLC38A6,0.58,0.64,0.57,0.61,0.52,0.26,0.52,1.06,0.64
ENSG00000139977,NAA30,8.53,3.11,8.65,9.21,5.51,1.42,2.28,2.84,6.4
ENSG00000139985,ADAM21,0.41,0.03,0.13,0.29,0.23,0.07,0.92694975,0.08,0.1
ENSG00000139988,RDH12,1.42,0.92,2.64,2.04,2.16,0.25,1.49,0.99,1.81
ENSG00000139990,DCAF5,6.29,8.47,5.17,5.47,7.5,1.81,5.22,6.37,5.55
ENSG00000139998,RAB15,37.01,22.99,40.74,32.16,50.12,5.07,27.77,15.48,26.66
ENSG00000140006,WDR89,3.78,2.46,5.21,5.61,2.5,0.8,1.93,2.24,2.97
ENSG00000140009,ESR2,0.08,0.03,0.06,0.09,0.05,0.01,0,0.05,0.16
ENSG00000140015,KCNH5,2.36,0.39,0.76,0.58,4.61,0.19,0.46,0.48,1.64
ENSG00000140022,STON2,0.86,13.44,2.13,2.17,1.43,4.09,6.52,6.95,3.87
ENSG00000140025,EFCAB11,0.28,0.86,0.23,0.6,0.8,0.69,1.31,0.72,0.53
ENSG00000140030,GPR65,0.06,0.18,0,0.07,0.22,0.05,0.74,0.07,0.12
ENSG00000140043,PTGR2,0.88,2.84,0.92,0.65,0.97,1.57,2.08,2.64,1.25
ENSG00000140044,JDP2,3.22,2.52,3.42,3.6,3.56,1.48,3.9,4.05,2.8
ENSG00000140057,AK7,0.35,0.04,0.33,0.34,0.38,0.05,0,0.1,0.26
ENSG00000140067,FAM181A,0.85,2.67,3.07,0.86,1.92,0.68,1,1.48,1.5
ENSG00000140090,SLC24A4,0.86,0.19,0.3,0.53,1.73,0.21,0.59,0.37,0.75
ENSG00000140092,FBLN5,3.14,5.07,3.18,4.17,3.8,2.84,3.76,4.32,3.31
ENSG00000140093,SERPINA10,0.08,0.05,0.04,0.03,0.01,0.06,0.25,0.04,0.1
